Time (s),Value
41.323,-10774
41.419,-10701
41.515,-10529
41.611,-10460
41.707,-10413
41.803,-10436
41.899,-10326
41.994,-10129
42.091,-10111
42.186,-10075
42.283,-10014
42.377,-9934
42.474,-9899
42.569,-9779
42.665,-9676
42.761,-9682
42.857,-9611
42.954,-9505
43.049,-9408
43.145,-9425
43.241,-9407
43.337,-9310
43.433,-9232
43.529,-9215
43.625,-9107
43.721,-8849
43.817,-8818
43.913,-8831
44.009,-8621
44.104,-8617
44.201,-8514
44.296,-8389
44.392,-8467
44.489,-8462
44.585,-8372
44.681,-8361
44.777,-8354
44.872,-8283
44.968,-8240
45.065,-8174
45.16,-8057
45.257,-7979
45.353,-7992
45.449,-7949
45.544,-7827
45.64,-7717
45.737,-7712
45.833,-7611
45.929,-7614
46.025,-7627
46.12,-7581
46.216,-7574
46.313,-7501
46.408,-7379
46.504,-7306
46.6,-7294
46.696,-7284
46.792,-7198
46.888,-7128
46.984,-7176
47.08,-7114
47.176,-7106
47.271,-7167
47.368,-6999
47.465,-6994
47.56,-7110
47.656,-7047
47.752,-6870
47.848,-6854
47.944,-6868
48.04,-6840
48.136,-6725
48.231,-6721
48.327,-6768
48.423,-6776
48.519,-6679
48.615,-6646
48.712,-6649
48.807,-6596
48.903,-6556
48.999,-6556
49.095,-6524
49.191,-6577
49.287,-6623
49.383,-6541
49.479,-6428
49.575,-6404
49.671,-6399
49.767,-6398
49.863,-6408
49.959,-6396
50.055,-6454
50.151,-6471
50.247,-6365
50.343,-6290
50.439,-6250
50.535,-6295
50.631,-6255
50.727,-6089
50.823,-6147
50.919,-6180
51.015,-6091
51.11,-6089
51.206,-6042
51.302,-5946
51.398,-5999
51.494,-5975
51.59,-5880
51.686,-5844
51.782,-5802
51.879,-5675
51.974,-5639
52.07,-5716
52.166,-5826
52.262,-5752
52.358,-5693
52.454,-5655
52.55,-5680
52.646,-5712
52.742,-5836
52.838,-5618
52.934,-5567
53.03,-5782
53.126,-5785
53.222,-5691
53.318,-5692
53.414,-5755
53.51,-5717
53.606,-5632
53.701,-5614
53.798,-5645
53.894,-5710
53.99,-5737
54.086,-5749
54.181,-5759
54.277,-5615
54.373,-5582
54.47,-5506
54.565,-5477
54.661,-5565
54.758,-5486
54.853,-5476
54.949,-5524
55.045,-5510
55.141,-5334
55.237,-5407
55.333,-5350
55.429,-5349
55.525,-5363
55.621,-5354
55.717,-5286
55.813,-5393
55.909,-5419
56.005,-5304
56.101,-5303
56.197,-5290
56.293,-5244
56.389,-5186
56.485,-5210
56.581,-5208
56.677,-5180
56.773,-5199
56.869,-5120
56.965,-5207
57.061,-5190
57.157,-5083
57.252,-5056
57.348,-5168
57.445,-5129
57.541,-5008
57.637,-4877
57.733,-4903
57.828,-4963
57.925,-4968
58.021,-4903
58.116,-4911
58.213,-4827
58.309,-4837
58.404,-4829
58.5,-4849
58.597,-4810
58.692,-4821
58.788,-4830
58.884,-4808
58.98,-4718
59.076,-4555
59.172,-4587
59.268,-4540
59.364,-4460
59.46,-4613
59.556,-4662
59.652,-4698
59.748,-4597
59.845,-4446
59.94,-4462
60.036,-4489
60.132,-4491
60.228,-4489
60.324,-4467
60.42,-4440
60.516,-4323
60.612,-4316
60.708,-4361
60.804,-4347
60.9,-4385
60.996,-4395
61.092,-4364
61.188,-4379
61.284,-4388
61.379,-4311
61.475,-4282
61.571,-4370
61.668,-4290
61.763,-4249
61.859,-4319
61.955,-4282
62.051,-4288
62.147,-4304
62.244,-4301
62.339,-4391
62.435,-4344
62.531,-4203
62.627,-4256
62.724,-4300
62.819,-4288
62.915,-4322
63.011,-4424
63.107,-4468
63.203,-4496
63.299,-4509
63.395,-4446
63.491,-4357
63.588,-4428
63.683,-4396
63.779,-4374
63.875,-4444
63.971,-4414
64.067,-4420
64.163,-4445
64.259,-4455
64.355,-4371
64.451,-4351
64.547,-4359
64.642,-4429
64.739,-4460
64.835,-4557
64.931,-4581
65.027,-4475
65.123,-4472
65.219,-4527
65.315,-4599
65.411,-4611
65.506,-4561
65.602,-4510
65.698,-4366
65.795,-4402
65.891,-4614
65.986,-4626
66.082,-4487
66.178,-4416
66.274,-4485
66.37,-4516
66.466,-4564
66.563,-4495
66.658,-4410
66.754,-4486
66.85,-4474
66.947,-4406
67.042,-4419
67.139,-4491
67.235,-4467
67.332,-4504
67.427,-4499
67.524,-4458
67.62,-4455
67.715,-4453
67.812,-4341
67.908,-4367
68.004,-4503
68.101,-4505
68.197,-4371
68.294,-4308
68.391,-4422
68.489,-4471
68.587,-4337
68.685,-4265
68.783,-4262
68.881,-4410
68.98,-4487
69.08,-4433
69.18,-4397
69.279,-4402
69.38,-4359
69.48,-4293
69.58,-4282
69.682,-4416
69.783,-4404
69.885,-4240
69.987,-4209
70.089,-4319
70.191,-4346
70.293,-4435
70.397,-4593
