Time (s),Value
3.06,-606
3.156,-608
3.252,-651
3.348,-641
3.444,-687
3.539,-612
3.636,-537
3.731,-582
3.827,-639
3.923,-711
4.019,-636
4.115,-511
4.211,-474
4.307,-542
4.403,-621
4.498,-504
4.594,-544
4.69,-707
4.786,-735
4.882,-604
4.978,-610
5.073,-635
5.17,-596
5.266,-571
5.361,-622
5.457,-647
5.553,-625
5.649,-593
5.744,-644
5.841,-733
5.937,-618
6.032,-675
6.128,-686
6.224,-651
6.32,-713
6.416,-688
6.512,-675
6.607,-676
6.703,-628
6.8,-710
6.895,-776
6.991,-683
7.087,-733
7.183,-691
7.278,-617
7.375,-629
7.47,-512
7.566,-577
7.662,-607
7.758,-533
7.854,-582
7.95,-654
8.046,-680
8.142,-554
8.237,-560
8.334,-641
8.43,-549
8.525,-466
8.621,-593
8.717,-571
8.813,-443
8.909,-568
9.005,-497
9.101,-434
9.196,-433
9.292,-530
9.388,-512
9.484,-484
9.58,-446
9.676,-475
9.772,-416
9.868,-501
9.965,-539
10.059,-539
10.155,-526
10.251,-499
10.347,-439
10.442,-494
10.539,-548
10.635,-510
10.73,-436
10.826,-407
10.922,-496
11.018,-576
11.114,-499
11.21,-455
11.306,-375
11.402,-411
11.497,-471
11.594,-452
11.689,-490
11.785,-436
11.881,-417
11.977,-522
12.073,-436
12.168,-341
12.265,-498
12.36,-555
12.456,-537
12.552,-474
12.648,-498
12.744,-459
12.84,-461
12.935,-468
13.032,-480
13.127,-532
13.224,-522
13.319,-404
13.415,-431
13.511,-405
13.606,-343
13.702,-467
13.799,-425
13.894,-457
13.99,-564
14.086,-580
14.182,-457
14.278,-328
14.374,-349
14.47,-427
14.566,-519
14.661,-438
14.757,-429
14.853,-462
14.949,-512
15.045,-465
15.141,-466
15.236,-480
15.333,-396
15.428,-448
15.525,-303
15.62,-374
15.716,-427
15.812,-343
15.908,-359
16.004,-549
16.1,-554
16.196,-502
16.291,-526
16.388,-535
16.483,-478
16.579,-505
16.674,-533
16.771,-436
16.866,-497
16.962,-532
17.059,-635
17.154,-708
17.25,-729
17.346,-622
17.442,-656
17.537,-813
17.634,-742
17.73,-673
17.826,-772
17.921,-798
18.017,-691
18.113,-618
18.209,-703
18.305,-716
18.401,-625
18.496,-659
18.592,-696
18.688,-722
18.784,-765
18.88,-734
18.976,-628
19.072,-700
19.168,-795
19.264,-781
19.36,-771
19.455,-806
19.551,-751
19.648,-746
19.743,-612
19.839,-695
19.935,-611
20.03,-579
20.127,-596
20.223,-704
20.318,-801
20.414,-722
20.51,-665
20.606,-621
20.702,-674
20.798,-749
20.894,-677
20.989,-656
21.085,-678
21.181,-692
21.277,-740
21.373,-707
21.469,-706
21.565,-684
21.66,-643
21.757,-725
21.853,-774
21.948,-691
22.044,-759
22.14,-819
22.236,-817
22.332,-733
22.428,-621
22.524,-643
22.62,-764
22.715,-743
22.811,-698
22.907,-676
23.003,-679
23.099,-636
23.195,-597
23.29,-660
23.387,-575
23.482,-590
23.578,-590
23.674,-542
23.77,-636
23.866,-684
23.962,-662
24.058,-651
24.154,-661
24.249,-647
24.345,-622
24.441,-501
24.537,-563
24.633,-683
24.729,-742
24.825,-764
24.92,-779
25.016,-868
25.113,-873
25.208,-876
25.304,-905
25.4,-835
25.496,-811
25.592,-933
25.688,-945
25.783,-853
25.879,-879
25.976,-1028
26.072,-1031
26.167,-980
26.264,-1037
26.359,-992
26.455,-933
26.552,-1106
26.647,-1214
26.744,-1207
26.84,-1307
26.935,-1336
27.031,-1413
27.127,-1354
27.223,-1407
27.319,-1606
27.415,-1582
27.51,-1501
27.606,-1572
27.702,-1596
27.799,-1622
27.894,-1644
27.99,-1671
28.086,-1655
28.182,-1758
28.277,-1652
28.373,-1707
28.469,-1896
28.565,-2033
28.661,-2002
28.757,-1989
28.853,-2006
28.949,-2014
29.044,-2146
29.14,-2240
29.236,-2280
29.332,-2300
29.428,-2450
29.524,-2477
29.62,-2505
29.716,-2525
29.812,-2535
29.908,-2719
30.003,-2837
30.099,-2845
30.195,-2861
30.291,-2952
30.387,-3033
30.483,-3027
30.579,-3096
30.675,-3275
30.771,-3274
30.867,-3180
30.962,-3231
31.058,-3407
31.154,-3242
31.25,-3170
31.346,-3332
31.442,-3348
31.538,-3301
31.634,-3451
31.729,-3546
31.825,-3622
31.921,-3669
32.017,-3666
32.113,-3645
32.209,-3618
32.305,-3743
32.401,-3789
32.496,-3785
32.592,-3683
32.688,-3722
32.784,-3766
32.88,-3802
32.976,-3839
33.072,-3944
33.168,-3956
33.263,-3831
33.359,-3894
33.455,-4072
33.551,-4109
33.647,-4104
33.742,-4168
33.839,-4231
33.935,-4215
34.031,-4136
34.126,-4199
34.222,-4239
34.318,-4236
34.414,-4257
34.51,-4355
34.606,-4421
34.701,-4391
34.798,-4416
34.894,-4609
34.989,-4658
35.085,-4651
35.181,-4676
35.277,-4771
35.373,-4824
35.469,-4845
35.564,-4912
35.66,-4930
35.757,-4888
35.852,-5010
35.948,-5047
36.043,-5059
36.14,-5260
36.235,-5294
36.331,-5321
36.428,-5402
36.523,-5488
36.619,-5424
36.715,-5460
36.811,-5540
36.907,-5566
37.002,-5560
37.099,-5673
37.194,-5835
37.29,-5930
37.386,-5866
37.482,-5811
37.577,-5933
37.674,-5960
37.77,-6061
37.865,-6084
37.962,-6117
38.057,-6248
38.153,-6246
38.249,-6231
38.344,-6259
38.44,-6301
38.536,-6450
38.632,-6447
38.728,-6504
38.824,-6500
38.92,-6470
39.016,-6520
39.112,-6671
39.208,-6710
39.303,-6739
39.4,-6768
39.495,-6746
39.591,-6742
39.687,-6653
39.783,-6635
39.879,-6691
39.974,-6878
40.07,-6882
40.167,-6910
40.263,-6933
40.358,-6924
40.454,-6891
40.55,-6983
40.646,-7166
40.741,-7150
40.838,-7142
40.933,-7195
41.029,-7126
41.125,-7175
41.222,-7340
41.317,-7400
41.412,-7343
41.508,-7307
41.604,-7398
41.7,-7444
41.797,-7482
41.892,-7635
41.988,-7612
42.084,-7593
42.179,-7643
42.275,-7791
42.372,-7937
42.467,-7973
42.563,-7983
42.659,-8017
42.755,-8046
42.851,-8093
42.947,-8213
43.042,-8249
43.138,-8357
43.234,-8348
43.331,-8306
43.426,-8347
43.522,-8440
43.618,-8439
43.714,-8449
43.809,-8438
43.905,-8559
44.001,-8642
44.097,-8636
44.193,-8696
44.289,-8801
44.385,-8794
44.481,-8931
44.577,-9051
44.673,-9091
44.768,-9071
44.864,-9135
44.96,-9274
45.056,-9313
45.152,-9381
45.247,-9439
45.343,-9461
45.44,-9517
45.536,-9606
45.631,-9683
45.727,-9775
45.823,-9950
45.92,-10042
46.016,-10139
46.112,-10141
46.208,-10213
46.304,-10305
46.399,-10409
46.495,-10576
46.591,-10702
46.687,-10732
46.782,-10712
46.879,-10834
46.974,-10931
47.07,-10920
47.166,-11030
47.262,-11211
47.358,-11209
47.454,-11222
47.55,-11344
47.645,-11485
47.741,-11461
47.838,-11436
47.933,-11605
48.029,-11818
48.125,-11873
48.221,-11827
48.317,-11943
48.413,-11987
48.509,-12048
48.604,-12044
48.7,-12060
48.796,-12211
48.892,-12396
48.988,-12495
49.084,-12471
49.18,-12385
49.276,-12535
49.371,-12685
49.467,-12664
49.563,-12690
49.659,-12923
49.755,-12896
49.852,-12958
49.947,-13092
50.043,-13228
50.139,-13287
50.234,-13340
50.33,-13413
50.426,-13451
50.522,-13413
50.618,-13623
50.713,-13634
50.811,-13787
50.906,-13836
51.001,-13837
51.098,-13939
51.193,-13970
51.289,-14056
51.385,-14107
51.481,-14084
51.577,-14108
51.672,-14139
51.768,-14236
51.864,-14294
51.96,-14376
52.056,-14470
52.152,-14503
52.248,-14505
52.344,-14442
52.44,-14615
52.536,-14714
52.631,-14765
52.727,-14951
52.823,-14863
52.919,-14781
53.015,-14945
53.111,-15162
53.207,-15318
53.303,-15313
53.398,-15325
53.494,-15274
53.59,-15292
53.686,-15425
53.782,-15566
53.878,-15637
53.974,-15625
54.07,-15734
54.166,-15742
54.262,-15665
54.357,-15763
54.453,-15982
54.549,-15993
54.645,-15798
54.741,-15791
54.837,-15939
54.933,-16035
55.029,-16092
55.124,-16253
55.22,-16428
55.316,-16353
55.412,-16252
55.508,-16425
55.604,-16520
55.7,-16494
55.795,-16553
55.891,-16609
55.987,-16786
56.083,-16826
56.179,-16870
56.275,-16857
56.371,-16956
56.467,-17048
56.563,-17026
56.658,-17106
56.754,-17119
56.85,-17204
56.946,-17220
57.042,-17157
57.138,-17317
57.234,-17466
57.33,-17567
57.426,-17518
57.522,-17523
57.617,-17676
57.713,-17751
57.809,-17808
57.905,-17846
58.001,-17931
58.097,-18029
58.193,-18176
58.288,-18110
58.384,-17998
58.481,-17980
58.577,-18066
58.672,-18088
58.769,-18020
58.864,-17975
58.96,-17967
59.056,-17932
59.152,-17801
59.248,-17831
59.344,-17824
59.44,-17575
59.536,-17447
59.632,-17470
59.728,-17433
59.824,-17295
59.92,-17097
60.016,-16965
60.112,-16844
60.208,-16869
60.305,-16817
60.4,-16672
60.496,-16478
60.592,-16320
60.688,-16317
60.784,-16314
60.88,-16138
60.976,-16015
61.072,-15902
61.168,-15762
61.264,-15725
61.36,-15590
61.456,-15462
61.552,-15363
61.647,-15182
61.743,-15180
61.839,-15112
61.935,-14953
62.032,-14879
62.127,-14775
62.224,-14616
62.319,-14454
62.415,-14374
62.511,-14372
62.607,-14281
62.703,-14079
62.799,-13997
62.895,-13973
62.991,-13831
63.087,-13834
63.183,-13599
63.279,-13568
63.375,-13445
63.471,-13168
63.567,-13092
63.663,-13091
63.759,-13030
63.855,-12995
63.951,-12852
64.047,-12737
64.143,-12676
64.239,-12575
64.335,-12517
64.431,-12387
64.527,-12230
64.622,-12089
64.719,-12128
64.815,-12062
64.911,-11775
65.007,-11692
65.103,-11737
65.199,-11783
65.294,-11552
65.39,-11525
65.487,-11470
65.582,-11353
65.678,-11316
65.774,-11173
65.87,-11051
65.966,-11057
66.062,-10990
66.158,-10893
66.254,-10809
66.35,-10749
66.446,-10769
66.542,-10657
66.638,-10512
66.734,-10417
66.83,-10390
66.927,-10346
67.023,-10250
67.118,-10224
67.214,-10218
67.311,-10127
67.406,-9976
67.503,-9909
67.598,-9883
67.694,-9746
67.791,-9722
67.888,-9719
67.985,-9571
68.082,-9550
68.179,-9438
68.277,-9349
68.375,-9280
68.472,-9275
68.57,-9188
68.669,-9166
68.767,-9006
68.866,-8901
68.965,-8910
69.065,-8837
69.165,-8796
69.265,-8585
69.365,-8489
69.465,-8524
69.567,-8449
69.668,-8417
69.77,-8299
69.871,-8262
69.973,-8174
70.076,-8057
70.178,-8017
70.281,-7890
70.476,-7679
70.58,-7590
70.684,-7529
70.788,-7376
70.892,-7309
70.997,-7224
71.101,-7174
71.206,-7032
71.311,-6873
71.417,-6827
71.524,-6856
71.724,-6645
71.831,-6532
71.938,-6423
72.045,-6418
72.152,-6419
72.26,-6337
72.368,-6104
72.476,-6002
72.585,-5930
72.779,-5877
72.889,-5786
72.999,-5812
73.109,-5684
73.219,-5588
73.329,-5685
73.442,-5588
73.644,-5365
73.756,-5327
73.868,-5262
73.984,-5277
74.098,-5255
74.213,-5323
74.411,-5023
74.526,-5039
74.642,-4829
74.758,-4772
74.876,-4812
75.083,-4607
75.199,-4710
75.317,-4628
75.434,-4516
75.553,-4334
75.754,-4201
75.873,-4301
75.991,-4177
76.107,-4017
76.224,-4036
76.426,-3848
76.545,-3751
76.664,-3700
76.781,-3589
76.901,-3481
77.098,-3443
77.218,-3400
77.337,-3287
77.456,-3266
77.576,-3308
77.77,-3102
77.891,-3112
78.012,-3125
78.134,-3124
78.346,-2990
78.468,-2948
78.591,-2850
78.714,-2843
78.922,-2694
79.046,-2734
79.17,-2701
79.294,-2695
79.498,-2578
79.623,-2513
79.748,-2545
79.874,-2562
80.074,-2268
80.2,-2385
80.326,-2434
80.452,-2341
80.649,-2340
80.776,-2159
80.904,-2036
81.031,-2101
81.225,-2031
81.354,-1986
81.482,-1970
81.704,-1964
81.834,-1875
81.963,-1880
82.186,-1694
82.316,-1732
82.446,-1794
82.665,-1677
82.796,-1601
82.928,-1555
83.144,-1595
83.278,-1597
83.41,-1550
83.624,-1476
83.758,-1399
83.892,-1343
84.104,-1309
84.238,-1301
84.372,-1321
84.583,-1303
84.719,-1245
84.854,-1273
85.063,-1166
85.2,-1144
85.337,-1184
85.544,-1103
85.681,-1086
85.818,-1013
86.023,-1022
86.162,-929
86.301,-959
86.502,-968
86.642,-1037
86.781,-943
86.982,-790
87.124,-720
87.264,-782
87.461,-780
87.603,-632
87.744,-603
87.941,-597
88.082,-531
88.224,-568
88.421,-460
88.565,-409
88.708,-403
88.901,-400
89.046,-343
89.285,-249
89.432,-335
89.669,-278
89.814,-245
90.052,24
90.201,-126
90.437,104
90.586,141
90.82,-20
90.967,-47
91.204,74
91.352,22
91.587,-87
91.735,32
91.972,110
92.122,27
92.354,64
92.505,-12
92.739,67
92.891,66
93.123,36
93.275,90
93.507,151
93.664,-41
93.891,-15
94.044,-116
94.273,0
94.426,-41
94.659,-232
94.813,-137
95.043,-175
95.197,-87
95.426,-96
95.583,-148
95.809,-71
95.966,-67
96.194,112
96.352,27
96.578,-127
96.737,-30
96.961,-59
97.119,-8
97.345,-57
97.504,-163
97.73,-133
97.89,-133
98.114,-152
98.275,-231
98.498,-210
98.66,-215
98.882,-130
99.045,-308
99.265,-256
99.429,-185
99.649,-243
99.814,-216
100.033,-248
100.203,-284
100.417,-266
100.583,-226
100.801,-275
100.979,-296
101.185,-273
101.352,-340
101.568,-234
101.751,-282
101.952,-277
102.24,-323
102.413,-353
102.624,-339
102.803,-407
103.008,-386
103.182,-411
103.392,-398
103.568,-403
103.775,-413
103.949,-417
104.159,-415
104.334,-499
104.543,-481
104.716,-478
