Time (s),Value
3.044,-7746
3.097,-7720
3.193,-7668
3.289,-7726
3.385,-7719
3.523,-7640
3.576,-7648
3.673,-7684
3.769,-7723
3.865,-7593
4.003,-7560
4.057,-7547
4.152,-7652
4.248,-7703
4.344,-7618
4.483,-7511
4.536,-7588
4.632,-7616
4.728,-7506
4.824,-7525
4.962,-7390
5.016,-7393
5.112,-7399
5.208,-7367
5.303,-7404
5.442,-7372
5.496,-7435
5.591,-7493
5.687,-7496
5.783,-7492
5.922,-7431
5.975,-7360
6.071,-7421
6.167,-7674
6.263,-7571
6.401,-7463
6.455,-7479
6.551,-7531
6.646,-7498
6.742,-7470
6.881,-7416
6.934,-7396
7.03,-7449
7.126,-7515
7.222,-7615
7.361,-7503
7.414,-7375
7.51,-7569
7.606,-7528
7.702,-7463
7.841,-7533
7.894,-7778
7.99,-7803
8.085,-7747
8.182,-7785
8.321,-7570
8.373,-7629
8.469,-7763
8.565,-7654
8.661,-7577
8.8,-7666
8.853,-7593
8.949,-7549
9.045,-7766
9.14,-7789
9.28,-7783
9.333,-7832
9.428,-8013
9.524,-7948
9.62,-7856
9.759,-7762
9.812,-7803
9.908,-7836
10.004,-7903
10.1,-7889
10.239,-7714
10.291,-7770
10.387,-7953
10.483,-7779
10.58,-7784
10.719,-7741
10.772,-7698
10.868,-7818
10.963,-7912
11.059,-7874
11.199,-7780
11.251,-7807
11.347,-7735
11.443,-7798
11.538,-7725
11.678,-7721
11.731,-7847
11.826,-7636
11.923,-7687
12.018,-7571
12.158,-7503
12.21,-7529
12.306,-7577
12.402,-7626
12.498,-7651
12.638,-7620
12.69,-7543
12.786,-7659
12.882,-7482
12.978,-7489
13.117,-7630
13.169,-7605
13.266,-7775
13.361,-7874
13.458,-7722
13.597,-7780
13.649,-7756
13.745,-7574
13.841,-7387
13.937,-7887
14.073,-8077
14.129,-7742
14.225,-7793
14.321,-7784
14.417,-7705
14.513,-7663
14.609,-7880
14.705,-7686
14.8,-7558
14.896,-7894
14.993,-8182
15.088,-7868
15.184,-7769
15.28,-7867
15.376,-7645
15.472,-7653
15.568,-7862
15.664,-7917
15.76,-8178
15.856,-8173
15.952,-8007
16.047,-8042
16.144,-8411
16.24,-8412
16.375,-8118
16.431,-8251
16.527,-8379
16.623,-8587
16.719,-8776
16.855,-8549
16.911,-8550
17.007,-8524
17.103,-8365
17.199,-8445
17.335,-8689
17.391,-8785
17.487,-8692
17.583,-8694
17.678,-8661
17.815,-8726
17.87,-8840
17.966,-8852
18.062,-8969
18.158,-8719
18.295,-8837
18.35,-8704
18.446,-8607
18.542,-8743
18.638,-9114
18.774,-9162
18.829,-8934
18.926,-8825
19.022,-9136
19.117,-9623
19.254,-9170
19.309,-8794
19.405,-8884
19.501,-9163
19.597,-9279
19.734,-9313
19.789,-9174
19.885,-9330
19.981,-9559
20.077,-9577
20.214,-9654
20.269,-9631
20.365,-9547
20.461,-9530
20.556,-9436
20.693,-9495
20.748,-9656
20.844,-9806
20.94,-9882
21.036,-9638
21.173,-9609
21.228,-9857
21.324,-9726
21.42,-9716
21.516,-9873
21.653,-9756
21.708,-9799
21.805,-10021
21.901,-10110
21.996,-10060
22.135,-10096
22.188,-10010
22.283,-9997
22.38,-10084
22.476,-10147
22.614,-10289
22.668,-10281
22.764,-10259
22.859,-10486
22.956,-10582
23.094,-10518
23.148,-10628
23.243,-10581
23.34,-10538
23.435,-10615
23.574,-10614
23.627,-10684
23.723,-10743
23.819,-10813
23.915,-10668
24.053,-10650
24.107,-10754
24.203,-10672
24.299,-10761
24.394,-10819
24.533,-10827
24.586,-10750
24.682,-10844
24.779,-10946
24.875,-10984
25.013,-10957
25.066,-10999
25.162,-11189
25.258,-11184
25.354,-11085
25.493,-11100
