Time (s),Value
2.989,4569
3.085,4487
3.181,4503
3.277,4470
3.372,4492
3.468,4465
3.564,4432
3.661,4447
3.756,4416
3.852,4435
3.948,4525
4.044,4377
4.14,4334
4.235,4349
4.332,4501
4.427,4529
4.523,4554
4.619,4315
4.715,4344
4.811,4226
4.907,4186
5.003,4350
5.098,4271
5.194,4219
5.29,4324
5.386,4219
5.482,4185
5.578,4134
5.674,4135
5.77,4102
5.865,4064
5.961,4112
6.057,4116
6.153,3948
6.248,3952
6.345,3951
6.441,3881
6.537,3727
6.632,3611
6.728,3822
6.824,3967
6.92,3869
7.016,3469
7.112,3619
7.208,3407
7.303,3321
7.399,3567
7.495,3577
7.591,3490
7.687,3150
7.783,3070
7.879,3170
7.974,3265
8.071,3391
8.166,3384
8.262,3408
8.358,3395
8.454,3495
8.55,3446
8.646,3276
8.741,3349
8.838,3072
8.933,2873
9.029,3022
9.126,3041
9.221,3062
9.316,3088
9.413,2922
9.509,2776
9.604,2673
9.701,2840
9.796,2758
9.892,2512
9.988,2539
10.084,2549
10.18,2502
10.276,2392
10.371,2392
10.467,2612
10.563,2482
10.659,2397
10.755,2513
10.851,2477
10.947,2410
11.043,2408
11.139,2462
11.234,2439
11.33,2469
11.426,2332
11.522,2325
11.618,2297
11.714,2326
11.81,2268
11.905,2249
12.002,2259
12.098,2186
12.193,2181
12.289,2229
12.385,2192
12.481,2071
12.577,2050
12.672,2074
12.768,2031
12.864,2004
12.96,2051
13.056,1923
13.152,1931
13.248,1846
13.343,1827
13.44,1914
13.536,1925
13.632,1853
13.728,1828
13.823,1822
13.919,1791
14.015,1736
14.111,1839
14.207,1826
14.303,1630
14.398,1498
14.495,1536
14.59,1667
14.686,1651
14.782,1578
14.878,1521
14.974,1446
15.07,1399
15.165,1345
15.262,1252
15.357,1285
15.454,1254
15.55,1182
15.645,1161
15.741,1093
15.837,1038
15.932,984
16.028,930
16.123,857
16.219,785
16.315,730
16.411,778
16.507,669
16.602,622
16.698,548
16.794,456
16.891,447
16.986,331
17.082,351
17.178,346
17.274,353
17.37,340
17.465,315
17.561,213
17.657,151
17.752,44
17.848,75
17.944,68
18.04,33
18.137,129
18.233,169
18.327,-32
18.424,-181
18.52,-179
18.615,-98
18.711,43
18.808,-118
18.904,-238
19,-147
19.095,-213
19.191,-372
19.287,-449
19.383,-447
19.479,-476
19.575,-521
19.671,-428
19.767,-643
19.863,-793
19.958,-888
20.054,-832
20.15,-638
20.246,-648
20.342,-739
20.438,-794
20.534,-832
20.63,-946
20.726,-854
20.821,-845
20.917,-887
21.013,-875
21.11,-1011
21.206,-1021
21.302,-1189
21.398,-1184
21.494,-1088
21.59,-1017
21.684,-988
21.781,-1182
21.877,-1304
21.973,-1522
22.069,-1506
22.165,-1492
22.261,-1642
22.357,-1598
22.452,-1427
22.549,-1491
22.644,-1614
22.74,-1539
22.837,-1625
22.932,-1648
23.028,-1534
23.124,-1681
23.22,-1720
23.315,-1710
23.411,-1737
23.507,-2024
23.603,-2181
23.699,-2139
23.795,-2141
23.891,-2115
23.987,-2094
24.082,-2203
24.182,-2336
24.274,-2256
24.37,-2189
24.466,-2272
24.562,-2121
24.658,-2134
24.754,-2478
24.85,-2469
24.946,-2538
25.042,-2562
25.138,-2642
25.234,-2647
25.329,-2642
25.425,-2623
25.521,-2624
25.617,-2624
25.713,-2748
25.808,-2758
25.905,-2744
26.001,-2759
26.097,-2923
26.192,-2881
26.288,-2757
26.384,-2788
26.48,-2847
26.576,-2875
26.672,-2959
26.767,-2853
26.864,-2919
26.959,-2945
27.055,-2876
27.151,-2946
27.247,-3002
27.343,-3019
27.439,-2965
27.535,-2959
27.631,-2985
27.726,-3012
27.822,-3101
27.918,-3162
28.014,-3135
28.11,-3148
28.206,-3115
28.302,-3132
28.398,-3208
28.493,-3157
28.589,-3072
28.685,-3177
28.781,-3284
28.877,-3308
28.973,-3320
29.069,-3344
29.165,-3351
29.261,-3412
29.357,-3442
29.452,-3382
29.548,-3414
29.644,-3495
29.74,-3594
29.836,-3641
29.932,-3516
30.028,-3515
30.124,-3522
30.22,-3578
30.316,-3713
30.411,-3742
30.507,-3744
30.603,-3718
30.699,-3724
30.795,-3898
30.891,-3889
30.986,-3901
31.083,-4028
31.178,-3968
31.274,-3995
31.37,-4101
31.466,-4136
31.562,-4162
31.658,-4189
31.754,-4205
31.85,-4203
31.945,-4193
32.042,-4286
32.137,-4454
32.233,-4563
32.33,-4442
32.425,-4478
32.521,-4552
32.617,-4566
32.713,-4620
32.809,-4648
32.904,-4658
33.001,-4658
33.097,-4727
33.192,-4751
33.288,-4834
33.384,-4852
33.48,-4795
33.576,-4767
33.672,-4855
33.768,-4872
33.863,-4876
33.96,-4839
34.055,-4854
34.151,-4922
34.247,-4922
34.343,-4890
34.439,-4928
34.535,-4986
34.631,-4937
34.726,-4896
34.822,-4936
34.918,-4816
35.015,-4901
35.11,-4980
35.206,-4986
35.302,-4951
35.398,-5031
35.493,-5065
35.59,-4903
35.686,-4964
