Time (s),Value
3.024,-2965
3.121,-2799
3.217,-2737
3.312,-2663
3.408,-2636
3.504,-2740
3.6,-2881
3.737,-2897
3.792,-2880
3.888,-3011
3.985,-2906
4.079,-2918
4.217,-2919
4.272,-2973
4.367,-3016
4.464,-2959
4.559,-3061
4.698,-2871
4.752,-2816
4.847,-2872
4.943,-2849
5.039,-2869
5.178,-2837
5.231,-2825
5.327,-2838
5.423,-2811
5.519,-2811
5.659,-2684
5.71,-2764
5.806,-2906
5.902,-2839
5.998,-2830
6.095,-2939
6.191,-2664
6.287,-2539
6.382,-2759
6.519,-2759
6.574,-2676
6.67,-2799
6.766,-2845
6.862,-2656
6.999,-2358
7.054,-2655
7.149,-2767
7.245,-2668
7.342,-2664
7.48,-2739
7.533,-2629
7.629,-2653
7.726,-2742
7.821,-2611
7.96,-2546
8.013,-2587
8.109,-2708
8.205,-2670
8.301,-2794
8.44,-2816
8.493,-2775
8.589,-2859
8.685,-2848
8.781,-2688
8.877,-2704
8.972,-2866
9.068,-2891
9.164,-2733
9.3,-2797
9.356,-2921
9.452,-2907
9.548,-2803
9.644,-2657
9.781,-2805
9.835,-2916
9.932,-2956
10.028,-2872
10.124,-2754
10.261,-2720
10.316,-2677
10.412,-2693
10.507,-2693
10.603,-2656
10.741,-2644
10.795,-2741
10.891,-2799
10.987,-2742
11.083,-2812
11.222,-2638
11.275,-2630
11.371,-2699
11.467,-2781
11.563,-2783
11.702,-2648
11.754,-2584
11.85,-2591
11.946,-2643
12.043,-2758
12.138,-2777
12.235,-2776
12.33,-2757
12.427,-2813
12.563,-2899
12.618,-2869
12.714,-2909
12.81,-2800
12.906,-2707
13.043,-2870
13.098,-2944
13.193,-3142
13.29,-2921
13.385,-2763
13.523,-2793
13.578,-2895
13.673,-2897
13.769,-2907
13.865,-2807
14.004,-2772
14.057,-2750
14.153,-2856
14.249,-2979
14.345,-2896
14.484,-2824
14.537,-2796
14.633,-2750
14.73,-2856
14.825,-2964
14.96,-2957
15.016,-2975
15.112,-2815
15.208,-2754
15.345,-2898
15.4,-2910
15.496,-2765
15.592,-2908
15.688,-2951
15.825,-3006
15.88,-2951
15.976,-3204
16.072,-3135
16.168,-2925
16.305,-2940
16.359,-2889
16.456,-2778
16.552,-2916
16.647,-2915
16.785,-2968
16.839,-2955
16.935,-3109
17.032,-3164
17.127,-3152
17.266,-3135
17.319,-3153
17.415,-3587
17.511,-3434
17.606,-3292
17.746,-3210
17.799,-3102
17.895,-3254
17.99,-3286
18.087,-3106
18.226,-3095
18.279,-3228
18.374,-3258
18.47,-3079
18.607,-3061
18.662,-3159
18.758,-3238
18.854,-3209
18.95,-3132
19.087,-3197
19.142,-3220
19.238,-3264
19.334,-3270
19.43,-3229
19.567,-3287
19.622,-3230
19.717,-3215
19.814,-3258
19.909,-3386
