Time (s),Value
2.984,3165
3.079,3097
3.175,2957
3.271,3000
3.367,3021
3.463,3060
3.56,3048
3.655,2962
3.751,3002
3.847,3039
3.942,2942
4.039,2941
4.135,2927
4.231,2789
4.327,2823
4.422,2999
4.518,3030
4.614,2962
4.71,3040
4.806,2984
4.902,2850
4.998,2858
5.094,2947
5.19,3051
5.286,2965
5.382,2945
5.478,3005
5.574,2972
5.669,3009
5.766,3025
5.861,3047
5.957,2925
6.053,2988
6.149,3018
6.245,3038
6.341,3157
6.437,3165
6.533,3068
6.629,3142
6.725,3172
6.821,3047
6.917,3066
7.013,3041
7.109,3021
7.204,3030
7.3,3024
7.396,3045
7.493,3023
7.588,2964
7.684,3110
7.78,3142
7.876,3117
7.971,3104
8.068,3099
8.164,3038
8.26,3004
8.356,3066
8.451,2926
8.547,2822
8.643,2915
8.739,3060
8.835,2932
8.931,2792
9.028,2864
9.123,2894
9.219,2919
9.315,2997
9.411,2918
9.507,2848
9.602,2791
9.699,2902
9.795,2948
9.891,2956
9.987,2953
10.083,2893
10.178,2877
10.274,2826
10.37,2933
10.466,2947
10.562,2803
10.658,2645
10.754,2788
10.85,2919
10.945,2907
11.042,2724
11.138,2677
11.233,2772
11.329,2674
11.426,2618
11.521,2560
11.617,2622
11.713,2618
11.809,2615
11.905,2637
12.001,2524
12.097,2447
12.193,2432
12.289,2391
12.385,2416
12.48,2464
12.576,2403
12.672,2381
12.768,2367
12.864,2490
12.96,2404
13.056,2385
13.152,2393
13.248,2347
13.344,2481
13.44,2509
13.536,2373
13.632,2381
13.728,2440
13.824,2473
13.919,2529
14.015,2505
14.111,2422
14.208,2388
14.303,2405
14.399,2381
14.495,2351
14.591,2425
14.687,2358
14.783,2239
14.879,2313
14.975,2424
15.071,2386
15.166,2355
15.262,2432
15.359,2306
15.455,2175
15.55,2238
15.646,2228
15.742,2055
15.838,1887
15.935,1884
16.03,1846
16.126,1943
16.222,1891
16.318,1792
16.413,1965
16.51,1951
16.605,1798
16.701,1816
16.797,1791
16.894,1758
16.989,1817
17.085,1718
17.181,1658
17.277,1664
17.373,1706
17.468,1724
17.565,1592
17.661,1588
17.757,1597
17.852,1611
17.948,1641
18.044,1555
18.14,1488
18.236,1474
18.332,1408
18.428,1399
18.524,1405
18.62,1305
18.716,1256
18.812,1369
18.908,1347
19.003,1233
19.1,1231
19.195,1286
19.292,1258
19.387,1270
19.483,1189
19.579,1224
19.675,1216
19.771,1178
19.867,1126
19.963,1207
20.059,1304
20.155,1289
20.251,1275
20.346,1196
20.443,1264
20.538,1165
20.634,1150
20.73,1090
20.826,1053
20.921,983
21.018,1018
21.113,921
21.209,895
21.305,903
21.401,891
21.496,866
21.592,755
21.688,693
21.784,603
21.88,536
21.977,483
22.072,573
22.168,530
22.264,548
22.36,588
22.456,612
22.552,521
22.647,442
22.744,435
22.84,459
22.935,388
23.031,341
23.127,306
23.224,111
23.319,136
23.415,247
23.511,197
23.607,113
23.703,158
23.799,229
23.893,49
23.989,94
24.085,69
24.182,13
24.277,-19
24.373,-31
24.468,-9
24.565,-44
24.662,-185
24.758,-147
24.854,-140
24.95,-195
25.046,-276
25.142,-275
25.238,-234
25.334,-357
25.43,-372
25.525,-418
25.622,-469
25.717,-431
25.813,-564
25.909,-636
26.005,-698
26.101,-703
26.197,-645
26.293,-710
26.389,-626
26.485,-626
26.58,-760
26.677,-880
26.772,-871
26.868,-954
26.965,-1102
27.061,-1118
27.156,-996
27.253,-1048
27.349,-1113
27.445,-1131
27.541,-1123
27.637,-1154
27.733,-1156
27.829,-1131
27.925,-1279
28.021,-1352
28.116,-1422
28.213,-1381
28.309,-1433
28.404,-1542
28.5,-1497
28.596,-1511
28.692,-1530
28.788,-1544
28.884,-1612
28.98,-1754
29.076,-1771
29.172,-1743
29.267,-1661
29.364,-1589
29.46,-1765
29.555,-1820
29.651,-1751
29.747,-1811
29.843,-1953
29.939,-2043
30.035,-2079
30.131,-2099
30.227,-2094
30.322,-2139
30.419,-2165
30.515,-2140
30.611,-2165
30.707,-2126
30.803,-2265
30.899,-2396
30.994,-2281
31.091,-2096
31.187,-2279
31.282,-2476
31.378,-2418
31.474,-2465
31.57,-2438
31.666,-2587
31.762,-2560
31.858,-2569
31.954,-2744
32.05,-2636
32.146,-2661
32.241,-2701
32.337,-2650
32.433,-2735
32.529,-2777
32.625,-2919
32.721,-2904
32.817,-2991
32.913,-2939
33.009,-2895
33.105,-2891
33.201,-3028
33.297,-2957
33.393,-3039
33.489,-3117
33.584,-3064
33.681,-3066
33.776,-3085
33.872,-3236
33.968,-3245
34.064,-3228
34.16,-3194
34.256,-3302
34.351,-3483
34.448,-3506
34.544,-3478
34.64,-3542
34.736,-3577
34.831,-3609
34.928,-3634
35.024,-3654
35.119,-3773
35.215,-3626
35.312,-3602
35.407,-3604
35.503,-3486
35.599,-3665
35.695,-3821
35.791,-3863
35.887,-3761
35.982,-3805
36.079,-3805
36.175,-3883
36.271,-4048
36.366,-3957
36.463,-3908
36.559,-4078
36.654,-4220
36.75,-4213
36.846,-4180
36.942,-4133
37.038,-4271
37.134,-4381
37.23,-4340
37.326,-4293
37.422,-4381
37.517,-4400
37.613,-4294
37.709,-4353
37.806,-4338
37.901,-4375
37.997,-4382
38.093,-4331
38.189,-4320
38.285,-4346
38.381,-4273
38.477,-4368
38.573,-4415
38.669,-4430
38.765,-4501
38.86,-4521
38.956,-4634
39.052,-4704
39.148,-4683
39.245,-4634
39.34,-4607
39.436,-4732
39.532,-4807
39.628,-4909
39.724,-4939
39.82,-4946
39.916,-5012
40.012,-5001
40.108,-5031
40.204,-5156
40.3,-5087
40.395,-5039
40.492,-5013
40.587,-5087
40.683,-5147
40.779,-5237
40.875,-5327
40.971,-5225
41.067,-5185
41.163,-5187
41.259,-5227
41.355,-5249
41.451,-5399
41.547,-5432
41.642,-5356
41.739,-5481
41.834,-5574
41.93,-5664
42.026,-5685
42.122,-5681
42.218,-5715
42.315,-5711
42.41,-5676
42.506,-5638
42.602,-5708
42.698,-5780
42.794,-5853
