Time (s),Value
2.967,-4475
3.063,-4521
3.199,-4480
3.255,-4413
3.35,-4649
3.446,-4652
3.543,-4528
3.68,-4459
3.734,-4626
3.83,-4614
3.926,-4411
4.022,-4456
4.16,-4370
4.214,-4264
4.31,-4161
4.406,-4180
4.501,-4299
4.64,-4497
4.693,-4474
4.79,-4615
4.885,-4489
4.982,-4451
5.121,-4554
5.173,-4485
5.269,-4544
5.365,-4516
5.461,-4437
5.596,-4342
5.653,-4331
5.748,-4363
5.845,-4401
5.981,-4442
6.037,-4429
6.133,-4379
6.229,-4402
6.325,-4351
6.462,-4292
6.516,-4348
6.612,-4533
6.709,-4341
6.804,-4369
6.942,-4424
6.996,-4344
7.092,-4318
7.188,-4365
7.284,-4341
7.423,-4388
7.476,-4437
7.572,-4446
7.668,-4368
7.764,-4313
7.903,-4364
7.955,-4380
8.051,-4430
8.147,-4454
8.243,-4493
8.379,-4586
8.435,-4467
8.53,-4414
8.627,-4343
8.763,-4357
8.818,-4327
8.915,-4351
9.011,-4343
9.107,-4467
9.244,-4474
9.298,-4582
9.394,-4708
9.491,-4591
9.586,-4539
9.723,-4537
9.778,-4520
9.874,-4557
9.97,-4633
10.066,-4596
10.204,-4525
10.257,-4508
10.354,-4629
10.45,-4705
10.545,-4683
10.684,-4674
10.737,-4619
10.833,-4645
10.929,-4641
11.025,-4767
11.165,-4670
11.217,-4615
11.313,-4746
11.409,-4858
11.505,-4770
11.601,-4757
11.697,-4801
11.793,-4880
11.889,-4942
12.025,-4847
12.081,-4822
12.177,-4944
12.272,-4958
12.369,-5036
12.506,-5061
12.56,-4893
12.656,-4976
12.752,-4958
12.848,-5070
12.986,-5095
13.04,-5011
13.136,-5138
13.232,-5169
13.328,-5056
13.466,-5107
13.52,-5248
13.616,-5429
13.712,-5326
13.808,-5265
13.947,-5321
13.999,-5340
14.095,-5577
14.191,-5624
14.287,-5498
14.383,-5441
14.479,-5433
14.575,-5511
14.671,-5475
14.808,-5509
14.863,-5587
14.959,-5606
15.055,-5541
15.151,-5543
15.288,-5539
15.343,-5638
15.438,-5765
15.534,-5654
15.63,-5712
15.769,-6064
15.822,-6118
15.918,-6158
16.014,-6036
16.11,-6008
16.249,-5944
16.302,-6044
16.398,-6011
16.494,-6078
16.589,-6192
16.73,-6107
16.781,-6165
16.877,-6370
16.973,-6381
17.11,-6198
17.165,-6055
17.261,-6034
17.357,-6337
17.453,-6349
17.59,-6145
17.645,-6211
17.741,-6453
17.837,-6451
17.932,-6483
18.07,-6435
18.125,-6369
18.22,-6515
18.316,-6443
18.412,-6484
18.551,-6407
18.604,-6472
18.7,-6454
18.796,-6519
18.891,-6592
19.032,-6601
19.084,-6701
19.18,-6702
19.276,-6667
19.372,-6700
19.507,-6712
19.563,-6756
19.659,-6981
19.755,-7012
19.892,-6843
19.947,-6811
20.043,-6897
20.139,-6843
20.235,-6855
20.372,-6886
20.427,-6888
20.523,-7027
20.619,-6984
20.714,-6936
20.853,-7010
20.906,-7040
21.002,-7108
21.098,-7015
21.194,-7113
21.333,-7247
21.386,-7293
21.482,-7293
21.578,-7456
21.674,-7559
21.813,-7543
21.866,-7476
21.962,-7457
22.057,-7357
22.154,-7455
22.25,-7559
22.346,-7504
22.441,-7475
22.537,-7428
22.674,-7477
22.729,-7629
22.825,-7759
22.921,-7808
23.017,-7614
23.154,-7738
23.209,-7850
23.305,-7948
23.401,-8126
23.496,-7958
23.635,-7960
23.689,-7938
23.785,-8043
23.88,-8208
23.976,-8159
24.115,-8096
24.168,-8114
24.264,-8242
24.36,-8162
24.456,-8297
24.595,-8472
24.648,-8381
24.744,-8495
24.84,-8445
24.936,-8415
25.031,-8567
25.127,-8742
25.223,-8812
25.319,-8712
25.456,-8626
25.511,-8852
25.607,-8967
25.703,-8841
25.799,-8903
25.936,-8985
25.99,-8915
26.086,-8944
26.183,-9202
26.279,-9319
26.417,-9350
26.471,-9532
26.567,-9720
26.662,-9602
26.758,-9612
26.897,-9481
26.95,-9597
27.046,-9725
27.143,-9538
27.238,-9530
27.377,-9631
27.43,-9653
27.526,-9825
27.622,-9874
27.718,-9875
27.813,-9847
27.91,-9797
28.005,-9864
28.101,-9740
28.238,-9939
28.293,-9926
28.389,-9743
28.485,-9942
28.582,-10033
28.719,-10161
28.774,-10194
28.87,-10321
28.966,-10262
29.062,-10223
29.199,-10372
29.253,-10449
29.35,-10629
29.445,-10500
29.542,-10530
