Time (s),Value
3.065,-4342
3.161,-4386
3.257,-4510
3.353,-4589
3.448,-4571
3.544,-4702
3.64,-4825
3.736,-4748
3.832,-4713
3.928,-4882
4.023,-4957
4.12,-4852
4.216,-4739
4.312,-5023
4.407,-5215
4.503,-5235
4.599,-5123
4.695,-4956
4.791,-5058
4.887,-5276
4.983,-5293
5.079,-5168
5.174,-5055
5.27,-5216
5.366,-5461
5.462,-5443
5.558,-5535
5.654,-5387
5.75,-5516
5.846,-5656
5.942,-5596
6.037,-5607
6.133,-5633
6.229,-5779
6.325,-5787
6.42,-5805
6.517,-5843
6.613,-5932
6.708,-6159
6.804,-6226
6.9,-6300
6.996,-6193
7.092,-6155
7.188,-6292
7.283,-6087
7.38,-6188
7.475,-6404
7.572,-6501
7.667,-6699
7.763,-6805
7.859,-6539
7.955,-6613
8.051,-6808
8.146,-6775
8.243,-6719
8.338,-6780
8.434,-6858
8.53,-6945
8.626,-7155
8.722,-7280
8.818,-7036
8.914,-7016
9.01,-6893
9.105,-6997
9.201,-7284
9.297,-7415
9.393,-7588
9.489,-7523
9.585,-7513
9.681,-7659
9.777,-7825
9.873,-7710
9.968,-7711
10.064,-7991
10.16,-8144
10.256,-8186
10.352,-8133
10.448,-8122
10.544,-7989
10.64,-8164
10.735,-8250
10.831,-8323
10.927,-8420
11.023,-8462
11.119,-8475
11.215,-8603
11.311,-8524
11.407,-8440
11.503,-8474
11.598,-8517
11.694,-8667
11.79,-8545
11.886,-8594
11.982,-8727
12.078,-8862
12.174,-8908
12.27,-9058
12.366,-9286
12.462,-8996
12.557,-8973
12.653,-9177
12.749,-9143
12.845,-9222
12.941,-9186
13.037,-9276
13.132,-9337
13.228,-9248
13.324,-9426
13.42,-9452
13.516,-9682
13.612,-9853
13.708,-9784
13.804,-9830
13.9,-9902
13.996,-9988
14.092,-9876
14.187,-9972
14.284,-10198
14.38,-10236
14.476,-10340
14.572,-10346
14.668,-10331
14.764,-10417
14.86,-10451
14.956,-10690
15.051,-10656
15.147,-10642
15.243,-10698
15.339,-10733
15.435,-10760
15.531,-10648
15.627,-10632
15.723,-10876
15.818,-11079
15.914,-11316
16.01,-11523
16.106,-11429
16.202,-11243
16.298,-11284
16.394,-11422
16.49,-11176
16.586,-11166
16.681,-11234
16.777,-11444
16.873,-11409
16.969,-11260
17.065,-11465
17.161,-11442
17.257,-11533
17.353,-11555
17.449,-11652
17.544,-11698
17.64,-11567
17.736,-11450
17.832,-11551
17.928,-11767
18.024,-11981
18.12,-11858
18.216,-11704
18.311,-11852
18.407,-11690
18.503,-11926
18.599,-11888
18.695,-11913
18.791,-12055
18.887,-12145
18.983,-12118
19.079,-12197
19.175,-12382
19.27,-12311
19.366,-12394
19.462,-12399
19.558,-12461
19.654,-12607
19.75,-12549
19.846,-12610
19.941,-12707
20.038,-12857
20.133,-12718
20.229,-12832
20.325,-13103
20.421,-13154
20.517,-13226
20.613,-13079
20.709,-12872
20.804,-12927
20.9,-13038
20.996,-13182
21.092,-13338
21.188,-13525
21.284,-13359
21.38,-13454
21.476,-13547
21.571,-13495
21.668,-13528
21.763,-13559
21.859,-13663
21.955,-13743
22.051,-13714
22.147,-13923
22.243,-14019
22.339,-14060
22.434,-14079
22.53,-14139
22.626,-14323
22.722,-14332
22.818,-14236
22.914,-14241
23.01,-14346
23.106,-14395
23.201,-14225
23.297,-14418
23.393,-14674
23.489,-14807
23.585,-14834
23.681,-14982
23.777,-14907
23.872,-14972
23.968,-15107
24.064,-15145
24.16,-15387
24.256,-15492
24.352,-15449
24.448,-15686
24.543,-15706
24.639,-15702
24.735,-15831
24.831,-15917
24.927,-15907
25.023,-15976
25.119,-16026
25.215,-16169
25.31,-16287
25.407,-16143
25.502,-16170
25.598,-16347
25.694,-16346
25.79,-16368
25.886,-16452
25.981,-16592
26.078,-16608
26.174,-16781
26.269,-16786
26.365,-16747
26.461,-16866
26.557,-16935
26.653,-16941
26.749,-16922
26.845,-17011
26.94,-17116
27.036,-17132
27.132,-17175
27.228,-17347
27.324,-17416
27.42,-17527
27.516,-17756
27.612,-17798
27.707,-17689
27.803,-17811
27.899,-17869
27.995,-17913
28.091,-17988
28.187,-18173
28.283,-18276
28.379,-18227
28.474,-18303
28.57,-18402
28.666,-18387
28.762,-18437
28.858,-18574
28.954,-18748
29.049,-18764
29.146,-18893
29.241,-19120
29.337,-19154
29.433,-19092
29.529,-19167
