Time (s),Value
3.057,-964
3.152,-980
3.248,-980
3.344,-952
3.441,-1012
3.537,-1068
3.633,-1085
3.729,-1087
3.825,-1113
3.921,-1141
4.017,-1101
4.113,-1052
4.208,-1089
4.304,-1075
4.4,-1072
4.496,-1073
4.592,-1038
4.688,-1057
4.784,-1030
4.879,-1026
4.975,-1116
5.071,-1103
5.167,-1053
5.263,-1020
5.358,-977
5.455,-1090
5.551,-1072
5.646,-1075
5.743,-1222
5.838,-1153
5.934,-1166
6.03,-1173
6.126,-1111
6.222,-1139
6.317,-1248
6.414,-1153
6.508,-997
6.605,-1021
6.701,-1129
6.797,-1147
6.893,-1216
6.989,-1218
7.085,-1207
7.18,-1203
7.276,-1231
7.373,-1177
7.468,-1192
7.564,-1349
7.66,-1363
7.755,-1313
7.852,-1331
7.947,-1392
8.043,-1284
8.139,-1318
8.235,-1404
8.331,-1448
8.427,-1293
8.523,-1225
8.619,-1307
8.715,-1316
8.81,-1143
8.906,-1159
9.002,-1218
9.098,-1099
9.194,-1061
9.29,-1057
9.385,-1051
9.482,-1132
9.577,-1149
9.673,-1014
9.769,-1064
9.865,-1019
9.961,-1081
10.057,-1129
10.153,-1109
10.249,-1114
10.344,-1148
10.44,-1051
10.536,-1109
10.632,-1133
10.727,-987
10.823,-985
10.92,-1013
11.015,-1099
11.111,-1141
11.207,-1098
11.303,-1214
11.399,-1440
11.495,-1530
11.591,-1499
11.687,-1512
11.783,-1530
11.878,-1571
11.974,-1634
12.07,-1570
12.166,-1554
12.262,-1652
12.358,-1677
12.454,-1740
12.549,-1833
12.645,-1802
12.741,-1809
12.837,-1782
12.933,-1735
13.028,-1692
13.124,-1839
13.22,-1906
13.316,-1881
13.412,-1982
13.508,-2134
13.604,-2162
13.7,-2243
13.796,-2296
13.892,-2337
13.987,-2311
14.084,-2230
14.179,-2313
14.276,-2401
14.371,-2521
14.467,-2504
14.563,-2455
14.658,-2436
14.754,-2528
14.851,-2488
14.946,-2543
15.043,-2700
15.138,-2627
15.233,-2693
15.33,-2661
15.426,-2661
15.521,-2729
15.617,-2749
15.713,-2768
15.809,-2802
15.906,-2800
16.001,-2836
16.097,-2980
16.193,-3043
16.288,-3038
16.385,-3100
16.48,-3146
16.576,-3156
16.672,-3211
16.768,-3275
16.864,-3267
16.96,-3247
17.056,-3334
17.152,-3320
17.247,-3346
17.343,-3449
17.439,-3521
17.535,-3584
17.631,-3627
17.727,-3711
17.823,-3878
17.918,-3949
18.015,-3908
18.11,-3742
18.206,-3745
18.302,-3771
18.398,-3780
18.494,-3810
18.589,-3968
18.686,-4148
18.781,-4175
18.877,-4153
18.973,-4263
19.069,-4246
19.165,-4169
19.261,-4254
19.356,-4368
19.453,-4206
19.548,-4205
19.645,-4409
19.74,-4473
19.836,-4439
19.932,-4431
20.027,-4341
20.124,-4397
20.219,-4544
20.315,-4605
20.412,-4575
20.507,-4592
20.603,-4673
20.699,-4820
20.795,-4868
20.891,-4732
20.987,-4759
21.083,-4897
21.178,-4892
21.274,-4797
21.37,-4985
21.466,-5014
21.562,-5031
21.657,-4971
21.754,-5118
21.85,-5279
21.946,-5260
22.041,-5224
22.137,-5329
22.233,-5376
22.329,-5353
22.425,-5385
22.521,-5375
22.616,-5436
22.713,-5475
22.808,-5611
22.904,-5518
23,-5470
23.096,-5615
23.192,-5799
23.288,-5705
23.384,-5670
23.479,-5900
23.575,-6030
23.671,-6078
23.767,-6091
23.863,-6102
23.959,-6331
24.055,-6248
24.151,-6133
