Time (s),Value
3.007,-6702
3.104,-6610
3.241,-6707
3.296,-6820
3.392,-6775
3.487,-6821
3.583,-6776
3.721,-6764
3.775,-6868
3.871,-6820
3.967,-6672
4.063,-6640
4.202,-6782
4.255,-6812
4.351,-6802
4.447,-6882
4.543,-6800
4.682,-6728
4.735,-6724
4.831,-6855
4.927,-6828
5.023,-6867
5.119,-6962
5.215,-7083
5.311,-7038
5.407,-6944
5.502,-7027
5.599,-7036
5.695,-6933
5.791,-6969
5.887,-7003
6.023,-7022
6.078,-7063
6.174,-7091
6.27,-7098
6.367,-7008
6.503,-7139
6.558,-7267
6.654,-7275
6.75,-7134
6.846,-7240
6.984,-7393
7.038,-7453
7.134,-7451
7.23,-7394
7.326,-7422
7.464,-7497
7.518,-7464
7.614,-7555
7.71,-7698
7.806,-7597
7.945,-7416
7.998,-7529
8.094,-7663
8.19,-7667
8.286,-7785
8.425,-7734
8.477,-7718
8.574,-7768
8.669,-7767
8.766,-7661
8.862,-7696
8.958,-7887
9.054,-7839
9.15,-7808
9.285,-7844
9.342,-7924
9.437,-8136
9.533,-8106
9.629,-7981
9.766,-7983
9.821,-8115
9.917,-8129
10.013,-8044
10.109,-8012
10.247,-8038
10.301,-8070
10.397,-8195
10.493,-8129
10.589,-8031
10.727,-8090
10.781,-8122
10.877,-8101
10.973,-8161
11.069,-8169
11.207,-8112
11.261,-8072
11.357,-8129
11.453,-8150
11.548,-8093
11.688,-8191
11.741,-8318
11.837,-8330
11.933,-8343
12.028,-8424
12.168,-8509
12.22,-8347
12.316,-8226
12.413,-8391
12.508,-8331
12.604,-8431
12.701,-8429
12.796,-8369
12.892,-8280
13.028,-8309
13.084,-8270
13.18,-8305
13.277,-8364
13.372,-8396
13.509,-8488
13.564,-8463
13.66,-8559
13.756,-8541
13.852,-8481
13.989,-8470
14.044,-8589
14.14,-8642
14.236,-8656
14.332,-8661
14.47,-8691
14.524,-8574
14.62,-8718
14.716,-8715
14.812,-8797
14.95,-8807
15.004,-8716
15.1,-8700
15.196,-8794
15.292,-8815
15.43,-8834
15.483,-8989
15.58,-8956
15.675,-9027
15.772,-9147
15.91,-9064
15.963,-9248
16.059,-9348
16.155,-9232
16.252,-9216
16.391,-9320
16.443,-9333
16.539,-9319
16.635,-9372
16.731,-9473
16.827,-9598
16.923,-9659
17.019,-9673
17.115,-9665
17.251,-9752
17.307,-9923
17.404,-9857
17.499,-9777
17.595,-9842
17.733,-10007
17.788,-10064
17.884,-10121
17.98,-10058
18.076,-10285
18.213,-10364
18.268,-10356
18.364,-10317
18.46,-10339
18.556,-10414
18.693,-10404
18.748,-10434
18.844,-10502
18.94,-10600
19.036,-10689
19.173,-10729
19.228,-10724
19.323,-10751
19.42,-10819
19.516,-10814
19.654,-10824
19.707,-11000
19.804,-11061
19.9,-10916
19.996,-10984
20.134,-11086
20.188,-11080
20.284,-11139
20.379,-11142
20.475,-11204
20.614,-11288
20.667,-11232
20.763,-11196
20.859,-11314
20.955,-11434
21.091,-11379
21.147,-11298
21.243,-11340
21.339,-11403
21.435,-11512
21.531,-11535
21.628,-11531
21.723,-11512
21.819,-11610
21.955,-11469
22.011,-11639
22.107,-11721
22.203,-11719
22.299,-11607
22.436,-11669
22.491,-11646
22.586,-11658
22.683,-11808
22.779,-11833
22.916,-11701
22.971,-11790
23.067,-11909
23.162,-12024
23.258,-12048
23.396,-12142
23.451,-12239
23.547,-12277
23.642,-12278
23.739,-12224
23.876,-12303
23.93,-12447
24.027,-12402
24.123,-12263
24.219,-12337
24.357,-12461
24.411,-12534
24.506,-12445
24.602,-12456
24.699,-12515
24.838,-12543
24.89,-12543
24.987,-12593
25.082,-12487
25.179,-12455
25.318,-12633
25.37,-12703
25.466,-12747
25.562,-12809
25.658,-12756
25.798,-12694
25.85,-12860
25.946,-12921
26.042,-13033
26.138,-13000
26.274,-13068
26.33,-13113
26.426,-13115
26.522,-13226
26.658,-13273
26.714,-13232
26.81,-13203
26.906,-13257
27.002,-13210
27.139,-13350
27.194,-13529
27.29,-13627
27.385,-13667
27.482,-13778
27.619,-13730
27.674,-13681
27.77,-13805
27.866,-13927
27.962,-13960
28.099,-13963
28.154,-13967
28.25,-14038
28.345,-13947
28.441,-14048
28.579,-14022
28.633,-13984
28.73,-14105
28.825,-14358
28.922,-14394
29.059,-14339
29.113,-14456
29.209,-14498
29.306,-14477
29.402,-14448
29.539,-14560
29.593,-14595
29.689,-14618
29.785,-14716
29.882,-14720
30.02,-14711
30.073,-14839
30.169,-14929
30.265,-14871
30.361,-14935
30.5,-14941
30.553,-15044
30.649,-15275
30.745,-15318
30.841,-15272
30.98,-15284
31.033,-15380
31.129,-15511
31.225,-15511
31.321,-15507
31.46,-15690
31.513,-15662
31.609,-15635
31.705,-15657
31.801,-15725
31.94,-15759
31.993,-15804
32.088,-15866
32.185,-15803
32.281,-15810
