Time (s),Value
41.324,-9537
41.42,-9392
41.515,-9234
41.654,-9394
41.708,-9775
41.804,-9884
41.899,-9752
41.995,-9425
42.135,-9847
42.188,-10150
42.283,-9950
42.379,-9920
42.516,-10279
42.571,-10486
42.667,-10187
42.762,-9950
42.86,-10335
42.997,-10246
43.051,-10148
43.147,-10291
43.242,-10518
43.339,-10303
43.477,-10309
43.53,-10593
43.627,-10883
43.722,-10609
43.818,-10491
43.957,-10324
44.01,-10519
44.106,-10663
44.202,-10674
44.298,-10601
44.438,-10856
44.489,-10732
44.585,-10853
44.682,-11000
44.818,-11108
44.873,-11180
44.969,-11234
45.065,-11086
45.161,-11187
45.299,-11152
45.353,-11090
45.448,-11216
45.544,-11268
45.64,-11341
45.779,-11424
45.832,-11261
45.928,-11395
46.024,-11483
46.12,-11460
46.259,-11491
46.312,-11651
46.408,-11671
46.503,-11572
46.599,-11491
46.736,-11540
46.791,-11681
46.887,-11813
46.983,-11969
47.12,-11998
47.175,-11976
47.271,-12127
47.366,-12124
47.462,-12093
47.6,-12161
47.654,-12124
47.75,-12042
47.846,-12048
47.942,-12063
48.081,-12107
48.133,-12246
48.229,-12341
48.325,-12398
48.421,-12473
48.561,-12456
48.615,-12480
48.709,-12538
48.805,-12395
48.942,-12401
48.996,-12506
49.092,-12564
49.188,-12668
49.284,-12730
49.422,-12633
49.476,-12760
49.572,-12888
49.668,-12819
49.764,-12870
49.902,-12936
49.956,-13090
50.051,-13116
50.148,-13160
50.243,-13058
50.382,-13027
50.436,-12936
50.531,-13060
50.627,-13216
50.723,-13334
50.818,-13385
50.914,-13270
51.01,-13418
51.106,-13467
51.243,-13674
51.301,-13803
51.394,-13823
51.49,-13618
51.586,-13544
51.723,-13371
51.78,-13601
51.873,-13881
51.969,-13913
52.065,-13806
52.204,-13804
52.261,-13893
52.353,-13725
52.448,-13991
52.544,-13981
52.683,-13779
52.741,-13893
52.832,-14132
52.928,-14351
53.024,-14475
53.164,-14495
53.228,-14488
53.312,-14475
53.408,-14656
53.545,-14675
53.608,-14199
53.695,-14483
53.791,-14932
53.887,-15069
54.025,-15434
54.088,-15393
54.175,-14945
54.271,-14911
54.367,-15099
54.505,-15355
54.568,-15248
54.654,-15412
54.75,-15598
54.846,-15495
54.986,-15659
55.052,-15682
55.134,-15491
55.229,-14922
55.366,-15326
55.43,-15558
55.517,-15756
55.613,-15573
55.709,-15869
55.847,-15800
55.911,-15588
55.997,-15861
56.093,-16157
56.189,-15916
56.327,-16229
56.396,-16454
56.476,-16653
56.572,-16539
56.668,-16355
56.808,-16473
56.875,-16586
56.956,-16576
57.052,-16569
57.148,-16364
57.289,-16395
57.358,-16590
57.435,-16532
57.531,-16507
57.669,-16749
57.741,-16703
57.819,-16731
57.915,-16848
58.01,-16820
58.148,-16765
58.218,-16934
58.298,-17026
58.394,-16866
58.49,-16970
58.629,-17087
58.703,-17193
58.778,-17190
58.874,-17234
58.97,-17284
59.109,-17262
59.183,-17304
59.261,-17455
59.353,-17371
59.449,-17298
59.589,-17475
59.667,-17456
59.741,-17485
59.833,-17544
59.969,-17506
60.045,-17512
60.12,-17647
60.216,-17709
60.312,-17704
60.45,-17532
60.528,-17417
60.604,-17318
60.696,-16998
60.792,-16829
60.93,-16746
61.009,-16572
61.086,-16529
61.176,-16725
61.272,-16581
61.41,-16375
61.489,-16233
61.568,-16225
61.656,-16125
61.752,-16045
61.891,-16015
61.972,-15911
62.051,-15925
62.136,-15801
62.232,-15699
62.371,-15642
62.453,-15546
62.534,-15376
62.616,-15285
62.712,-15328
62.852,-15161
62.934,-15125
63.017,-14966
63.099,-14827
63.232,-14879
63.332,-14921
63.417,-14836
63.5,-14711
63.585,-14656
63.713,-14475
63.798,-14349
63.883,-14265
63.967,-14127
64.056,-14123
64.193,-14117
64.279,-14124
64.365,-14020
64.451,-13762
64.538,-13761
64.673,-13554
64.761,-13641
64.849,-13659
64.936,-13480
65.025,-13353
65.153,-13182
65.243,-13141
65.332,-13138
65.422,-12904
65.512,-12920
65.634,-12863
65.725,-12899
65.816,-12823
65.906,-12638
65.997,-12647
66.114,-12604
66.205,-12537
66.297,-12571
66.389,-12458
66.481,-12335
66.594,-12312
66.688,-12237
66.782,-12187
66.876,-12068
66.97,-11942
67.075,-11926
67.169,-11955
67.263,-11985
67.357,-11826
67.452,-11717
67.555,-11621
67.65,-11625
67.748,-11676
67.844,-11514
67.94,-11371
68.035,-11437
68.131,-11540
68.228,-11326
68.324,-11094
68.421,-11212
68.519,-11207
68.616,-11103
68.714,-11079
68.814,-10967
68.912,-11150
69.011,-11080
69.11,-11044
69.209,-11063
69.309,-10824
69.409,-10712
69.509,-10609
69.61,-10621
69.71,-10636
69.812,-10619
70.007,-10469
70.108,-10485
70.21,-10455
70.337,-10344
70.442,-10269
70.545,-10170
70.648,-10244
70.752,-10328
70.855,-10223
70.959,-10041
71.159,-10081
71.298,-10007
71.404,-9868
71.509,-9864
71.614,-9928
71.719,-9733
71.825,-9780
72.022,-9618
72.129,-9448
72.257,-9534
72.366,-9655
72.475,-9564
72.584,-9317
72.692,-9253
72.886,-9170
72.995,-9032
73.118,-8938
73.227,-8837
73.337,-8968
73.447,-8902
73.558,-8692
73.75,-8692
73.863,-8579
73.974,-8558
74.085,-8381
74.197,-8346
74.309,-8478
74.559,-8329
74.672,-8402
74.785,-8085
74.899,-7894
75.013,-7956
75.189,-7751
75.303,-7755
75.417,-7693
75.533,-7625
75.648,-7850
75.765,-7813
76,-7824
76.117,-7748
76.233,-7597
76.481,-7675
76.598,-7640
76.723,-7681
76.961,-7650
77.081,-7643
77.201,-7589
77.441,-7774
77.56,-7391
77.68,-7263
77.799,-7093
77.972,-7272
78.099,-7253
78.225,-7301
78.351,-7199
78.549,-6913
78.672,-6777
78.794,-6840
78.917,-6966
79.125,-6668
79.262,-6725
79.385,-6554
79.605,-6487
79.743,-6258
79.867,-6291
80.085,-6077
80.223,-6210
80.348,-6111
80.565,-6108
80.704,-5902
80.83,-5979
81.044,-6022
81.184,-5780
81.311,-5776
81.525,-5582
81.665,-5849
81.794,-5703
82.045,-5531
82.173,-5473
82.389,-5362
82.525,-5272
82.655,-5181
82.869,-5312
83.006,-5226
83.136,-5050
83.349,-4954
83.486,-4944
83.618,-4938
83.828,-4872
83.966,-4795
84.099,-4912
84.308,-4690
84.446,-4674
84.58,-4627
84.789,-4742
84.927,-4656
85.062,-4477
85.269,-4589
85.408,-4639
85.543,-4421
85.748,-4462
85.887,-4458
86.023,-4487
86.228,-4576
86.368,-4442
86.507,-4431
86.708,-4271
86.849,-4260
86.987,-4224
87.228,-4341
87.367,-4377
87.572,-4261
87.712,-4515
87.852,-4369
88.052,-4065
88.192,-4363
88.333,-4504
88.532,-4167
88.673,-4225
88.815,-4137
89.012,-4084
89.154,-4264
89.297,-4435
89.492,-3878
89.636,-4157
89.779,-4307
89.972,-4152
90.116,-4100
90.356,-4035
90.501,-3959
90.74,-4052
90.887,-4124
91.034,-4054
91.22,-3852
91.366,-3804
91.513,-3865
91.7,-3851
91.847,-3766
91.995,-3961
92.18,-4071
92.328,-3870
92.564,-3818
92.714,-3877
92.864,-3749
93.044,-3810
93.196,-3885
93.346,-3865
93.523,-3774
93.676,-3867
