Time (s),Value
3.022,-1294
3.118,-1310
3.214,-1290
3.31,-1279
3.405,-1378
3.501,-1481
3.597,-1454
3.693,-1399
3.788,-1358
3.884,-1357
3.98,-1383
4.076,-1413
4.172,-1469
4.268,-1493
4.363,-1495
4.459,-1464
4.555,-1545
4.651,-1461
4.747,-1476
4.842,-1481
4.938,-1510
5.034,-1423
5.13,-1417
5.226,-1447
5.322,-1489
5.417,-1531
5.513,-1667
5.61,-1617
5.705,-1516
5.8,-1480
5.896,-1536
5.992,-1490
6.088,-1513
6.184,-1519
6.279,-1532
6.376,-1558
6.471,-1555
6.567,-1540
6.663,-1482
6.759,-1544
6.855,-1436
6.95,-1491
7.046,-1589
7.142,-1594
7.238,-1618
7.334,-1636
7.43,-1662
7.525,-1703
7.621,-1749
7.717,-1699
7.813,-1772
7.908,-1600
8.004,-1625
8.1,-1802
8.197,-1729
8.292,-1540
8.387,-1434
8.484,-1559
8.579,-1649
8.676,-1564
8.771,-1640
8.867,-1625
8.962,-1579
9.058,-1590
9.154,-1462
9.25,-1408
9.346,-1551
9.442,-1623
9.538,-1579
9.633,-1467
9.729,-1493
9.825,-1554
9.921,-1615
10.017,-1601
10.112,-1624
10.208,-1631
10.304,-1809
10.4,-1762
10.496,-1577
10.591,-1354
10.688,-1579
10.783,-1747
10.879,-1781
10.975,-1732
11.071,-1689
11.166,-1712
11.262,-1622
11.358,-1653
11.454,-1743
11.55,-1812
11.645,-1715
11.741,-1781
11.837,-1684
11.933,-1855
12.029,-1713
12.125,-1867
12.221,-1928
12.316,-1857
12.412,-1738
12.508,-1725
12.604,-1660
12.7,-1818
12.796,-1922
12.891,-1967
12.987,-1897
13.083,-1808
13.179,-1926
13.275,-2103
13.37,-2133
13.466,-2113
13.562,-2183
13.658,-2131
13.754,-2151
13.85,-2281
13.946,-2295
14.041,-2227
14.137,-2171
14.233,-2212
14.329,-2300
14.425,-2238
14.52,-2330
14.616,-2356
14.712,-2329
14.808,-2262
14.904,-2148
15,-2195
15.095,-2219
15.191,-2200
15.287,-2220
15.383,-2202
15.479,-2290
15.574,-2286
15.67,-2308
15.766,-2278
15.862,-2325
15.958,-2418
16.054,-2478
16.15,-2513
16.245,-2449
16.342,-2418
16.436,-2464
16.532,-2538
16.629,-2638
16.724,-2760
16.82,-2786
16.916,-2812
17.012,-2831
17.108,-2879
17.204,-2861
17.299,-2889
17.395,-2941
17.491,-2955
17.587,-2993
17.683,-3187
17.779,-3178
17.875,-3121
17.97,-3203
18.066,-3303
18.162,-3363
18.257,-3373
18.354,-3356
18.449,-3340
18.546,-3442
18.641,-3475
18.737,-3349
18.832,-3362
18.929,-3374
19.024,-3431
19.12,-3534
19.216,-3491
19.312,-3368
19.408,-3442
19.503,-3457
19.6,-3537
19.695,-3633
19.791,-3481
19.887,-3533
19.983,-3686
20.079,-3640
20.175,-3592
20.271,-3688
20.366,-3686
20.463,-3651
20.558,-3615
20.654,-3705
20.75,-3690
20.846,-3718
20.941,-3741
21.037,-3835
21.133,-3890
21.229,-3953
21.324,-3907
21.42,-3936
21.517,-3851
21.612,-3749
21.708,-3977
21.804,-4200
21.899,-4189
21.996,-4204
22.091,-4120
22.187,-4170
22.283,-4094
22.379,-4002
22.475,-4140
22.571,-4150
22.667,-4147
22.762,-4321
22.858,-4391
22.953,-4422
23.05,-4418
23.145,-4427
23.241,-4391
23.337,-4441
23.433,-4649
23.529,-4696
23.625,-4613
23.721,-4654
23.817,-4690
23.913,-4709
24.008,-4734
24.104,-4835
24.2,-4903
24.296,-4902
24.392,-4850
24.487,-4964
24.584,-5126
24.679,-5088
24.775,-5089
24.871,-5052
24.967,-5117
25.062,-5207
25.158,-5085
25.254,-5058
25.35,-5058
25.446,-5062
25.541,-5160
25.637,-5071
25.733,-5101
25.829,-5193
25.925,-5185
26.021,-5229
26.116,-5234
26.213,-5259
26.308,-5354
26.404,-5419
26.5,-5294
26.596,-5351
26.692,-5475
26.788,-5348
26.884,-5294
26.979,-5530
27.075,-5448
27.171,-5480
27.267,-5525
27.363,-5514
27.459,-5513
27.554,-5583
27.65,-5529
27.746,-5451
27.842,-5491
27.938,-5562
28.034,-5710
28.129,-5706
28.226,-5794
28.321,-5689
28.417,-5703
28.513,-5788
28.609,-5855
28.704,-5890
28.8,-5813
28.896,-5866
28.992,-5966
29.088,-6054
29.184,-6039
29.279,-6032
29.375,-6010
29.471,-5969
29.567,-6152
29.663,-6266
29.759,-6179
29.854,-6234
29.951,-6388
30.046,-6419
30.142,-6461
30.238,-6445
30.334,-6467
30.43,-6522
30.525,-6603
