Time (s),Value
3.043,-5083
3.139,-5063
3.235,-5015
3.33,-4999
3.427,-4922
3.523,-4860
3.618,-4962
3.714,-5059
3.81,-4991
3.906,-5094
4.003,-5147
4.098,-5099
4.194,-5034
4.289,-5022
4.385,-4997
4.481,-5025
4.577,-5067
4.673,-4977
4.769,-5006
4.865,-5059
4.961,-4911
5.057,-4888
5.153,-4999
5.249,-4954
5.344,-4903
5.44,-4912
5.536,-4845
5.632,-4827
5.728,-4903
5.823,-4901
5.919,-5009
6.015,-4914
6.112,-4971
6.207,-4942
6.303,-4887
6.399,-5040
6.495,-4999
6.591,-5061
6.686,-5090
6.782,-5103
6.878,-5098
6.974,-5057
7.07,-4938
7.166,-4991
7.262,-5106
7.357,-4943
7.454,-5027
7.549,-4954
7.645,-5104
7.741,-5113
7.837,-4966
7.933,-4926
8.029,-4943
8.124,-5183
8.22,-5220
8.317,-5308
8.412,-5366
8.508,-5130
8.604,-5015
8.7,-4981
8.796,-4964
8.891,-5228
8.987,-5397
9.084,-5422
9.179,-5433
9.275,-5316
9.371,-5225
9.467,-5253
9.563,-5441
9.659,-5415
9.755,-5469
9.864,-5532
9.947,-5533
10.042,-5682
10.138,-5650
10.234,-5579
10.33,-5628
10.426,-5744
10.521,-5937
10.618,-5936
10.713,-5971
10.809,-5995
10.905,-5939
11.001,-5757
11.097,-6026
11.193,-6201
11.289,-6124
11.385,-6170
11.481,-6355
11.576,-6369
11.672,-6245
11.768,-6295
11.864,-6420
11.96,-6502
12.056,-6591
12.152,-6536
12.248,-6570
12.344,-6680
12.44,-6656
12.535,-6648
12.631,-6766
12.727,-6782
12.823,-6821
12.919,-6806
13.014,-6833
13.111,-6876
13.206,-6874
13.302,-6873
13.398,-6943
13.494,-7064
13.59,-7068
13.686,-7006
13.782,-7074
13.878,-7193
13.974,-7274
14.069,-7277
14.166,-7286
14.261,-7286
14.357,-7193
14.453,-7212
14.548,-7303
14.644,-7444
14.74,-7478
14.836,-7563
14.932,-7654
15.028,-7585
15.124,-7560
15.22,-7633
15.316,-7728
15.412,-7763
15.507,-7897
15.603,-7981
15.699,-7982
15.795,-7932
15.891,-7985
15.987,-8068
16.083,-8180
16.178,-8228
16.274,-8324
16.37,-8338
16.466,-8238
16.562,-8342
16.658,-8456
16.754,-8499
16.85,-8742
16.946,-8753
17.042,-8653
17.137,-8837
17.233,-8996
17.329,-9007
17.425,-8968
17.521,-8973
17.617,-9017
17.713,-9134
17.808,-9192
17.904,-9320
18.001,-9327
18.096,-9493
18.192,-9578
18.288,-9445
18.384,-9499
18.48,-9357
18.575,-9600
18.672,-9871
18.767,-9952
18.863,-9922
18.959,-9680
19.055,-9875
19.152,-10063
19.248,-10308
19.344,-10086
19.44,-10054
19.535,-10209
19.632,-10329
19.727,-10475
19.824,-10620
19.919,-10648
20.015,-10847
20.111,-10873
20.207,-10785
20.303,-10855
20.398,-10880
20.495,-10998
20.59,-11027
20.686,-10872
20.782,-10907
20.878,-10991
20.973,-11176
21.07,-11373
