Time (s),Value
3.027,-2521
3.123,-2615
3.219,-2591
3.315,-2594
3.411,-2672
3.507,-2586
3.602,-2590
3.698,-2557
3.794,-2592
3.89,-2755
3.985,-2726
4.082,-2653
4.178,-2714
4.273,-2682
4.369,-2693
4.465,-2711
4.561,-2670
4.656,-2596
4.753,-2778
4.848,-2703
4.944,-2571
5.04,-2683
5.136,-2759
5.232,-2705
5.327,-2755
5.424,-2765
5.519,-2858
5.615,-2911
5.711,-2955
5.807,-2825
5.903,-2801
5.999,-2749
6.094,-2569
6.19,-2666
6.286,-2835
6.382,-2735
6.478,-2816
6.574,-2694
6.67,-2654
6.765,-2695
6.861,-2850
6.957,-2777
7.053,-2852
7.148,-2843
7.244,-2740
7.341,-2707
7.436,-2592
7.532,-2696
7.628,-2741
7.724,-2711
7.82,-2884
7.916,-2956
8.012,-2876
8.107,-2754
8.203,-2770
8.299,-2714
8.394,-2892
8.491,-3005
8.586,-2942
8.682,-2884
8.778,-2711
8.874,-2880
8.97,-2848
9.066,-2753
9.162,-2826
9.258,-2821
9.353,-2816
9.449,-2826
9.545,-2766
9.641,-2827
9.737,-2827
9.833,-2858
9.928,-2813
10.024,-2766
10.12,-2810
10.216,-2792
10.312,-2767
10.408,-2785
10.503,-2641
10.6,-2603
10.696,-2707
10.791,-2780
10.887,-2758
10.983,-2720
11.079,-2739
11.175,-2785
11.27,-2851
11.366,-2824
11.462,-2732
11.558,-2745
11.654,-2890
11.75,-3002
11.846,-2973
11.942,-2918
12.037,-3043
12.133,-3041
12.229,-3041
12.324,-3164
12.421,-3186
12.516,-3113
12.612,-3109
12.709,-3170
12.804,-3237
12.9,-3248
12.996,-3263
13.092,-3405
13.187,-3499
13.283,-3442
13.379,-3459
13.475,-3513
13.57,-3547
13.666,-3584
13.762,-3593
13.859,-3502
13.954,-3543
14.05,-3681
14.146,-3701
14.242,-3743
14.337,-3707
14.433,-3747
14.529,-3812
14.625,-3866
14.721,-3797
14.817,-3719
14.913,-3825
15.008,-3847
15.104,-3832
15.2,-3895
15.296,-3889
15.392,-3990
15.488,-3968
15.584,-3924
15.679,-3904
15.775,-4041
15.871,-4035
15.967,-3912
16.063,-4057
16.159,-4274
16.255,-4303
16.35,-4296
16.446,-4299
16.542,-4330
16.638,-4287
16.734,-4349
16.83,-4353
16.926,-4392
17.021,-4466
17.117,-4507
17.213,-4637
17.309,-4587
17.405,-4552
17.501,-4639
17.596,-4644
17.693,-4687
17.788,-4748
17.884,-4837
17.98,-4824
18.076,-4954
18.172,-5025
18.267,-5013
18.364,-5031
18.46,-5169
18.555,-5184
18.651,-5122
18.747,-5116
18.843,-5196
18.939,-5232
19.035,-5227
19.131,-5207
19.226,-5324
19.323,-5360
19.418,-5402
19.514,-5510
19.61,-5441
19.706,-5373
19.802,-5479
19.897,-5573
19.993,-5581
20.089,-5724
20.185,-5711
20.281,-5641
20.377,-5652
20.472,-5799
20.569,-5804
20.665,-5798
20.76,-5771
20.856,-5803
20.952,-5795
21.048,-5905
21.143,-5926
21.24,-5922
21.336,-6040
21.431,-6123
21.527,-6146
21.623,-6241
21.718,-6310
21.814,-6346
21.91,-6408
22.006,-6485
22.102,-6457
22.198,-6510
22.294,-6594
22.39,-6499
22.486,-6502
22.581,-6579
22.677,-6628
22.773,-6748
22.869,-6856
22.965,-6920
23.06,-6934
23.156,-6860
23.252,-6856
23.348,-6970
23.444,-6969
23.54,-6909
23.636,-6910
23.732,-6824
23.828,-6804
23.923,-6918
24.02,-7037
24.115,-7015
24.211,-7042
24.307,-7042
24.403,-7051
24.498,-7051
24.594,-7056
24.69,-7088
24.786,-7095
24.882,-7098
24.978,-7160
25.074,-7206
25.17,-7160
25.265,-7202
25.362,-7357
25.458,-7367
25.553,-7438
25.65,-7404
25.746,-7325
25.841,-7331
25.937,-7461
26.033,-7599
26.129,-7510
26.225,-7551
26.32,-7695
26.417,-7733
26.513,-7813
26.608,-7872
26.704,-7803
26.8,-7918
26.895,-8018
26.991,-8168
27.087,-8246
27.183,-8293
27.279,-8291
27.375,-8378
27.471,-8474
27.566,-8511
27.662,-8550
27.759,-8624
27.854,-8672
27.95,-8490
28.046,-8460
28.142,-8476
28.238,-8455
28.334,-8595
28.429,-8654
28.525,-8685
28.621,-8736
28.717,-8692
28.813,-8772
28.909,-8873
29.005,-8879
29.101,-8875
29.196,-8894
29.293,-8989
29.388,-8932
29.484,-8930
29.58,-8989
29.676,-9120
29.771,-9142
29.867,-9023
29.963,-9126
30.059,-9131
30.155,-9229
30.251,-9272
30.347,-9212
30.442,-9337
30.538,-9367
30.634,-9402
30.73,-9463
30.826,-9443
30.922,-9488
31.018,-9627
31.114,-9645
31.21,-9639
31.306,-9625
31.402,-9554
31.497,-9554
31.593,-9654
31.689,-9848
31.785,-9810
31.88,-9783
31.976,-9841
32.072,-9907
32.168,-9934
32.265,-9986
32.362,-10010
32.456,-9996
32.553,-10207
32.649,-10234
32.745,-10200
32.841,-10227
32.937,-10280
33.033,-10243
33.128,-10374
33.224,-10485
33.32,-10432
33.416,-10496
33.512,-10735
33.608,-10745
33.703,-10696
33.799,-10702
33.895,-10647
33.991,-10713
34.087,-10836
34.182,-10810
34.278,-10837
34.374,-10869
34.47,-10983
34.566,-11044
34.662,-11037
34.758,-11119
34.853,-11161
34.949,-11141
35.045,-11196
35.141,-11232
35.237,-11281
35.333,-11451
35.429,-11463
35.525,-11470
35.621,-11548
35.716,-11596
35.812,-11625
35.908,-11701
36.004,-11646
36.1,-11746
36.196,-11748
36.291,-11786
36.387,-11751
36.483,-11753
36.58,-11787
36.675,-11790
36.771,-11758
36.867,-11919
36.963,-12047
37.058,-11984
37.155,-12068
37.25,-12163
37.346,-12142
37.442,-12218
37.537,-12233
37.634,-12283
37.73,-12414
37.825,-12379
37.921,-12419
38.017,-12504
38.113,-12462
38.208,-12542
38.304,-12649
38.4,-12619
38.496,-12633
38.592,-12693
38.688,-12692
38.784,-12708
38.88,-12794
38.976,-12718
39.071,-12676
39.167,-12717
39.263,-12699
39.359,-12723
39.455,-12870
39.55,-12772
39.646,-12749
39.743,-12754
39.838,-12801
39.934,-12948
40.03,-12968
40.126,-12899
40.222,-12991
40.318,-13016
40.413,-12977
40.51,-13178
40.605,-13381
40.701,-13329
40.797,-13298
40.892,-13314
40.989,-13303
41.084,-13380
41.18,-13387
41.276,-13319
41.372,-13396
41.468,-13335
41.564,-13372
41.659,-13410
41.756,-13495
41.852,-13605
41.947,-13685
42.043,-13733
42.139,-13719
42.235,-13661
42.33,-13665
42.427,-13778
42.522,-13762
42.618,-13629
42.714,-13686
42.81,-13738
42.906,-13675
43.002,-13706
43.097,-13757
43.193,-13876
43.29,-13920
43.385,-13747
43.481,-13658
43.577,-13569
43.673,-13323
